location,itm_east,itm_north,longitude,latitude,type,lighting,suitable_for_the_disabled,parking
אבו גוש,210525,634529,35.10942674,31.80309338,אולם ספורט,yes,yes,yes
אבו גוש,210265,635399,35.10667282,31.81093732,אולם ספורט,yes,yes,yes
אבו גוש,210232,635383,35.10632446,31.81079275,כדורסל,yes,yes,yes
אבו גוש,210403,635436,35.1081299,31.81127211,כדורסל,no,yes,yes
אבו גוש,210393,635129,35.10802717,31.80850338,מגרש ספורט,yes,yes,yes
אבו גוש,210523,634529,35.10940562,31.80309337,מגרש ספורט,no,yes,yes
אבו סנאן,216156,762892,35.16843402,32.96064964,אולם ספורט,yes,yes,yes
אבו סנאן,216062,762871,35.1674287,32.96045999,מגרש ספורט,yes,yes,yes
אבו סנאן,215339,763104,35.15969465,32.96255836,מגרש ספורט,yes,yes,yes
אבו סנאן,216190,763120,35.16879685,32.96270557,אולם ספורט,yes,yes,yes
אבו סנאן,215380,763090,35.16013325,32.96243228,אולם ספורט,yes,yes,yes
אבו סנאן,215320,763110,35.1594914,32.96261239,כדורגל,yes,yes,yes
אבו סנאן,216250,763130,35.16943857,32.96279592,מגרש ספורט,yes,yes,yes
אבו סנאן,216960,762890,35.17703339,32.96063379,מגרש ספורט,yes,yes,yes
אבן יהודה,190312,687459,34.89436997,32.28007529,אולם ספורט,yes,yes,yes
אבן יהודה,189230,687430,34.88288552,32.27978505,כדורגל,no,no,no
אבן יהודה,189230,687430,34.88288552,32.27978505,מגרש ספורט,yes,yes,yes
אבן יהודה,189010,685910,34.88059895,32.26607232,אולם ספורט,yes,yes,yes
אבן יהודה,189010,685910,34.88059895,32.26607232,אולם ספורט,yes,yes,yes
אבן יהודה,189010,685910,34.88059895,32.26607232,מגרש ספורט,yes,yes,yes
אבן יהודה,189010,685910,34.88059895,32.26607232,טניס,yes,yes,yes
אבן יהודה,189010,685910,34.88059895,32.26607232,מגרש ספורט,yes,yes,yes
אבן יהודה,188750,685700,34.87784628,32.26417151,אולם ספורט,yes,yes,yes
אבן יהודה,188750,685700,34.87784628,32.26417151,טניס,yes,yes,yes
אבן יהודה,188750,685700,34.87784628,32.26417151,כדורגל,yes,yes,yes
אבן יהודה,188750,685700,34.87784628,32.26417151,מגרש ספורט,yes,yes,yes
אבן יהודה,189410,685570,34.88485502,32.26301714,אולם ספורט,yes,yes,yes
אבן יהודה,189620,688220,34.88700052,32.28691943,אולם ספורט,yes,yes,yes
אום אל-פחם,213984,716073,35.14548204,32.53847074,מגרש ספורט,yes,yes,yes
אום אל-פחם,214446,715016,35.15040592,32.52894159,מגרש ספורט,yes,yes,yes
אום אל-פחם,214543,715153,35.15143769,32.53017741,מגרש ספורט,yes,yes,yes
אום אל-פחם,214519,715184,35.15118205,32.53045684,מגרש ספורט,yes,yes,yes
אום אל-פחם,213684,714619,35.14229746,32.52535793,מגרש ספורט,no,no,no
אום אל-פחם,214691,715330,35.15301215,32.53177414,מגרש ספורט,no,no,no
אום אל-פחם,215075,713829,35.15710678,32.51824064,מגרש ספורט,no,no,no
אום אל-פחם,217334,715465,35.18114551,32.53299986,מגרש ספורט,no,no,no
אום אל-פחם,214646,715770,35.15253086,32.53574159,מגרש ספורט,no,no,no
אום אל-פחם,215024,713353,35.15656627,32.51394815,מגרש ספורט,no,no,no
אום אל-פחם,214271,713669,35.1485507,32.51679434,מגרש ספורט,no,no,no
אום אל-פחם,215342,715422,35.15994137,32.53260638,מגרש ספורט,no,no,no
אום אל-פחם,215251,714743,35.15897579,32.52648323,מגרש ספורט,no,no,no
אום אל-פחם,214407,713273,35.15000028,32.51322408,מגרש ספורט,no,no,no
אום אל-פחם,214097,713890,35.14669757,32.51878635,מגרש ספורט,no,no,no
אום אל-פחם,213484,714058,35.1401723,32.5202981,מגרש ספורט,no,no,no
אום אל-פחם,213570,714036,35.14108775,32.52010019,מגרש ספורט,no,no,no
אום אל-פחם,215218,712629,35.15863423,32.50742032,מגרש ספורט,no,no,no
אום אל-פחם,213150,713008,35.13662457,32.51082796,מגרש ספורט,no,no,no
אום אל-פחם,215263,713294,35.15911009,32.51341707,מגרש ספורט,no,no,no
אום אל-פחם,214055,714170,35.14624894,32.52131101,מגרש ספורט,no,no,no
אום אל-פחם,212704,713865,35.13187197,32.51855323,מגרש ספורט,no,no,no
אום אל-פחם,211787,712294,35.12212523,32.50438087,מגרש ספורט,no,no,no
אום אל-פחם,216109,716368,35.16810241,32.54113945,מגרש ספורט,no,no,no
אום אל-פחם,213558,713980,35.14096039,32.51959515,אולם ספורט,no,no,no
אום אל-פחם,214810,712863,35.15429123,32.50952873,אולם ספורט,no,no,no
אום אל-פחם,214340,715087,35.14927724,32.52958133,אולם ספורט,no,no,no
אום אל-פחם,214674,714017,35.15283797,32.51993423,אולם ספורט,no,no,no
אום אל-פחם,214884,715446,35.15506598,32.53282098,כדורגל,yes,yes,yes
אום אל-פחם,214485,713226,35.15083064,32.51280062,מגרש ספורט,yes,yes,no
אום אל-פחם,214895,713122,35.15519452,32.5118646,כדורגל,yes,yes,yes
אום אל-פחם,214372,714233,35.14962254,32.52188063,כדורגל,yes,no,yes
אום אל-פחם,214778,715404,35.15393785,32.5324418,כדורגל,yes,yes,yes
אום אל-פחם,215458,713769,35.16118331,32.51770107,מגרש ספורט,yes,yes,yes
אום אל-פחם,213527,713942,35.1406307,32.51925232,מגרש ספורט,yes,yes,yes
אום אל-פחם,214236,715769,35.14816638,32.53573069,מגרש ספורט,no,no,yes
אום אל-פחם,214804,712827,35.15422756,32.50920408,מגרש ספורט,yes,yes,yes
אום אל-פחם,213157,713443,35.13669612,32.51475058,מגרש ספורט,yes,yes,yes
אום אל-פחם,213009,713459,35.13512091,32.51489399,מגרש ספורט,yes,yes,no
אופקים,162513,580750,34.60553155,31.31671143,אולם ספורט,yes,no,yes
אופקים,163276,580480,34.61356206,31.31431354,מגרש ספורט,yes,no,yes
אופקים,163200,579600,34.61281331,31.30637347,כדורסל,yes,yes,no
אופקים,163200,579600,34.61281331,31.30637347,כדורסל,yes,yes,yes
אופקים,163200,579900,34.6127964,31.30907906,כדורסל,no,yes,yes
